certname,resource_type,resource_title,property,old_value,new_value,risk_score
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,Yumrepo,epel,ensure,absent,present,6
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,Exec,change-selinux-status-to-disabled,returns,notrun,['0'],9
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,File,/etc/localtime,target,../usr/share/zoneinfo/UTC,/usr/share/zoneinfo/Europe/London,4
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,File,/etc/pki/rpm-gpg/RPM-GPG-KEY-puppet-20250406,ensure,absent,file,4
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,File_line,set-selinux-config-type-to-minimum,ensure,absent,present,4
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,File_line,set-selinux-config-to-disabled,ensure,absent,present,4
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,Yumrepo,epel-debuginfo,ensure,absent,present,6
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,File,/etc/pki/rpm-gpg/RPM-GPG-KEY-puppet,ensure,absent,file,4
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,File,/etc/chrony.conf,content,['-# These servers were defined in the installation:\n -server metadata.google.internal iburst\n -# Use public servers from the pool.ntp.org project.\n -# Please consider joining the pool (http://www.pool.ntp.org/join.html).\n -# Allow the system clock to be stepped in the first three updates\n -# if its offset is larger than 1 second.\n -makestep 1.0 3\n -\n -# Enable kernel synchronization of the real-time clock (RTC).\n -# Enable hardware timestamping on all interfaces that support it.\n -#hwtimestamp *\n -\n -# Increase the minimum number of selectable sources required to adjust\n -# the system clock.\n -#minsources 2\n -# Allow NTP client access from local network.\n -#allow 192.168.0.0/16\n -# Serve time even if not synchronized to a time source.\n -#local stratum 10\n -# Specify file containing keys for NTP authentication.\n -# Get TAI-UTC offset and leap seconds from the system tz database.\n -leapsectz right/UTC\n -# Specify directory for log files.\n -logdir /var/log/chrony\n -# Select which information is logged.\n -#log measurements statistics tracking\n'],['+# NTP servers\n +server 0.pool.ntp.org iburst\n +server 1.pool.ntp.org iburst\n +# Enable kernel RTC synchronization.\n +# In first 3 updates step the system clock instead of slew\n +# if the adjustment is larger than 10 seconds.\n +makestep 10 3\n +bindcmdaddress 127.0.0.1\n +bindcmdaddress ::1\n +# Serve time even if not synchronized to any NTP server.\n +local stratum 10\n +# Disable logging of client accesses.\n +noclientlog\n +# Send a message to syslog if a clock adjustment is larger than 0.5 seconds.\n +logchange 0.5\n +logdir /var/log/chrony\n'],4
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,Package,policycoreutils-python-utils,ensure,purged,present,5
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,File,/etc/motd,content,[''],['+  ===================================================================\n +\n +      UNAUTHORIZED ACCESS TO THIS DEVICE IS PROHIBITED\n +\n +    You must have explicit authorized permission to access or\n +    configure this device. Unauthorized attempts and actions to\n +    access or use this system may result in civil and/or criminal\n +    penalties. All activities performed on this device are logged\n +    and monitored.\n +\n +  ===================================================================\n +\n +      Hostname:         linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal\n +      Operating System: CentOS 8.5.2111\n +      Kernel:           Linux\n +      Domain:           us-west1-c.c.emea-ps-lab.internal\n +      IP Address:       10.253.15.17\n +      Processor:        Intel(R) Xeon(R) CPU @ 2.20GHz\n +      Memory Size:      3.65 GiB\n +      Uptime:           0 days\n +\n +  ===================================================================\n'],4
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,Exec,update_timezone,returns,notrun,['0'],9
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,Yumrepo,epel-source,ensure,absent,present,6
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,Yumrepo,pc_repo,ensure,absent,present,6
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,Ini_setting,puppet[main:usecacheonfailure],ensure,absent,present,4
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,Yumrepo,epel-testing-debuginfo,ensure,absent,present,6
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,Ini_setting,puppet[main:runinterval],ensure,absent,present,4
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,Yumrepo,epel-testing-source,ensure,absent,present,6
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,Ini_setting,puppet[main:splay],ensure,absent,present,4
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,Exec,import-EPEL-8,returns,notrun,['0'],9
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,Yumrepo,epel-testing,ensure,absent,present,6
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,File,/etc/chrony.keys,content,[''],[''],4
linskylab-5a8bd4-0.us-west1-c.c.emea-ps-lab.internal,File,/etc/pki/rpm-gpg/RPM-GPG-KEY-EPEL-8,ensure,absent,file,4
